model,EMA,MBI,CBR,consistency_rate
deepseek-v3.2,0.7801980198019802,0.0891089108910891,0.0,0.37623762376237624
gemma-3-12b-it,0.025742574257425745,0.23168316831683167,0.01386138613861386,0.15841584158415842
gemma-3-27b-it,0.49900990099009906,0.45544554455445546,0.0019801980198019802,0.4158415841584158
glm-4.7-flash,0.3188118811881188,0.3564356435643566,0.24554455445544554,0.1485148514851485
qwen3-next-80b-a3b-instruct,0.9524752475247523,0.0297029702970297,0.0,0.8712871287128713
qwen3.5-397b-a17b,0.9445544554455445,0.009900990099009901,0.0019801980198019802,0.8217821782178217
