model,model_slug,status,updated_at,n_trials,summary_path,message
deepseek/deepseek-v3.2,deepseek__deepseek-v3.2,completed,2026-04-12T20:25:27+00:00,500,output_prompt_cot_answer/unfamiliar_fantasy_social_contracts_extended/unfamiliar_fantasy_social_contracts_extended/deepseek__deepseek-v3.2/summary.json,run completed successfully
google/gemma-3-12b-it,google__gemma-3-12b-it,completed,2026-04-12T20:25:34+00:00,500,output_prompt_cot_answer/unfamiliar_fantasy_social_contracts_extended/unfamiliar_fantasy_social_contracts_extended/google__gemma-3-12b-it/summary.json,run completed successfully
google/gemma-3-27b-it,google__gemma-3-27b-it,completed,2026-04-12T20:22:03+00:00,500,output_prompt_cot_answer/unfamiliar_fantasy_social_contracts_extended/unfamiliar_fantasy_social_contracts_extended/google__gemma-3-27b-it/summary.json,run completed successfully
qwen/qwen3-next-80b-a3b-instruct,qwen__qwen3-next-80b-a3b-instruct,completed,2026-04-12T20:20:12+00:00,500,output_prompt_cot_answer/unfamiliar_fantasy_social_contracts_extended/unfamiliar_fantasy_social_contracts_extended/qwen__qwen3-next-80b-a3b-instruct/summary.json,run completed successfully
qwen/qwen3.5-397b-a17b,qwen__qwen3.5-397b-a17b,completed,2026-04-12T20:17:35+00:00,500,output_prompt_cot_answer/unfamiliar_fantasy_social_contracts_extended/unfamiliar_fantasy_social_contracts_extended/qwen__qwen3.5-397b-a17b/summary.json,run completed successfully
z-ai/glm-4.7-flash,z-ai__glm-4.7-flash,completed,2026-04-12T20:19:27+00:00,500,output_prompt_cot_answer/unfamiliar_fantasy_social_contracts_extended/unfamiliar_fantasy_social_contracts_extended/z-ai__glm-4.7-flash/summary.json,run completed successfully
