model,prompt_style,reasoning,turn,mean_iou,confirming_test_rate
openai__gpt-5.2,adaptive,none,5,0.09563958333333333,0.5
openai__gpt-5.2,adaptive,none,6,0.06702765957446809,0.44680851063829785
openai__gpt-5.2,adaptive,none,7,0.0677,0.5434782608695652
openai__gpt-5.2,adaptive,none,8,0.07424347826086956,0.6304347826086957
openai__gpt-5.2,adaptive,none,9,0.06891521739130435,0.6304347826086957
openai__gpt-5.2,adaptive,none,10,0.06309999999999999,0.5869565217391305
openai__gpt-5.2,adaptive,none,11,0.08132826086956521,0.6086956521739131
openai__gpt-5.2,adaptive,none,12,0.059075555555555555,0.7555555555555555
openai__gpt-5.2,adaptive,none,13,0.06964,0.6444444444444445
openai__gpt-5.2,adaptive,none,14,0.07774,0.5777777777777777
openai__gpt-5.2,adaptive,none,15,0.07112500000000001,0.5227272727272727
openai__gpt-5.2,adaptive,none,16,0.04917209302325581,0.6511627906976745
openai__gpt-5.2,adaptive,none,17,0.0666860465116279,0.6511627906976745
openai__gpt-5.2,adaptive,none,18,0.06406190476190476,0.7142857142857143
openai__gpt-5.2,adaptive,none,19,0.0413,0.5609756097560976
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,1,0.14858000000000002,1.0
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,2,0.04639148936170213,0.9574468085106383
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,3,0.04204255319148936,0.7872340425531915
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,4,0.05241276595744681,0.7021276595744681
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,5,0.08018913043478261,0.6521739130434783
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,6,0.1270888888888889,0.6222222222222222
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,7,0.049009523809523815,0.7380952380952381
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,8,0.03504761904761905,0.5476190476190477
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,9,0.04721904761904762,0.6666666666666666
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,10,0.08325952380952381,0.6666666666666666
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,11,0.039215,0.65
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,12,0.0560825,0.675
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,13,0.0116675,0.75
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,14,0.020399999999999998,0.6410256410256411
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,15,0.04244102564102564,0.6666666666666666
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,16,0.07574358974358975,0.7435897435897436
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,17,0.03332631578947368,0.7105263157894737
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,18,0.06612368421052632,0.7105263157894737
qwen__qwen3-next-80b-a3b-instruct,adaptive,none,19,0.08503684210526315,0.6842105263157895
qwen__qwen3.5-397b-a17b,adaptive,none,1,0.017662,0.96
qwen__qwen3.5-397b-a17b,adaptive,none,2,0.015300000000000001,0.74
qwen__qwen3.5-397b-a17b,adaptive,none,3,0.08321400000000001,0.72
qwen__qwen3.5-397b-a17b,adaptive,none,4,0.07676326530612244,0.673469387755102
qwen__qwen3.5-397b-a17b,adaptive,none,5,0.047858333333333336,0.6041666666666666
qwen__qwen3.5-397b-a17b,adaptive,none,6,0.06531458333333333,0.5
qwen__qwen3.5-397b-a17b,adaptive,none,7,0.044923404255319155,0.5319148936170213
qwen__qwen3.5-397b-a17b,adaptive,none,8,0.052823404255319145,0.5319148936170213
qwen__qwen3.5-397b-a17b,adaptive,none,9,0.0323,0.5217391304347826
qwen__qwen3.5-397b-a17b,adaptive,none,10,0.04301956521739131,0.43478260869565216
qwen__qwen3.5-397b-a17b,adaptive,none,11,0.05395652173913044,0.5
qwen__qwen3.5-397b-a17b,adaptive,none,12,0.07535217391304348,0.43478260869565216
qwen__qwen3.5-397b-a17b,adaptive,none,13,0.04951555555555555,0.5333333333333333
qwen__qwen3.5-397b-a17b,adaptive,none,14,0.06459555555555556,0.5333333333333333
qwen__qwen3.5-397b-a17b,adaptive,none,15,0.034165909090909094,0.5454545454545454
qwen__qwen3.5-397b-a17b,adaptive,none,16,0.05082272727272727,0.5227272727272727
qwen__qwen3.5-397b-a17b,adaptive,none,17,0.03558604651162791,0.7209302325581395
qwen__qwen3.5-397b-a17b,adaptive,none,18,0.05742093023255814,0.6511627906976745
qwen__qwen3.5-397b-a17b,adaptive,none,19,0.05860952380952381,0.7380952380952381
x-ai__grok-4.1-fast,adaptive,none,1,0.12617599999999998,0.98
x-ai__grok-4.1-fast,adaptive,none,2,0.03142127659574468,0.7021276595744681
x-ai__grok-4.1-fast,adaptive,none,3,0.02446595744680851,0.6808510638297872
x-ai__grok-4.1-fast,adaptive,none,4,0.024844680851063828,0.6808510638297872
x-ai__grok-4.1-fast,adaptive,none,5,0.022031914893617024,0.8936170212765957
x-ai__grok-4.1-fast,adaptive,none,6,0.03266170212765957,0.6382978723404256
x-ai__grok-4.1-fast,adaptive,none,7,0.02936382978723404,0.5319148936170213
x-ai__grok-4.1-fast,adaptive,none,8,0.03687659574468085,0.5531914893617021
x-ai__grok-4.1-fast,adaptive,none,9,0.04510212765957447,0.6382978723404256
x-ai__grok-4.1-fast,adaptive,none,10,0.02679782608695652,0.7608695652173914
x-ai__grok-4.1-fast,adaptive,none,11,0.027382608695652174,0.6086956521739131
x-ai__grok-4.1-fast,adaptive,none,12,0.025508695652173913,0.5652173913043478
x-ai__grok-4.1-fast,adaptive,none,13,0.01723695652173913,0.6956521739130435
x-ai__grok-4.1-fast,adaptive,none,14,0.015580434782608696,0.7608695652173914
x-ai__grok-4.1-fast,adaptive,none,15,0.020680434782608698,0.5652173913043478
x-ai__grok-4.1-fast,adaptive,none,16,0.019904347826086955,0.5434782608695652
x-ai__grok-4.1-fast,adaptive,none,17,0.012867391304347829,0.7391304347826086
x-ai__grok-4.1-fast,adaptive,none,18,0.02726304347826087,0.6086956521739131
x-ai__grok-4.1-fast,adaptive,none,19,0.025050000000000003,0.5869565217391305
z-ai__glm-4.7-flash,adaptive,none,1,0.020701999999999998,1.0
z-ai__glm-4.7-flash,adaptive,none,2,0.020953061224489793,0.42857142857142855
z-ai__glm-4.7-flash,adaptive,none,3,0.048924999999999996,0.4166666666666667
z-ai__glm-4.7-flash,adaptive,none,4,0.09573617021276595,0.425531914893617
