model,EMA,MBI,CBR,consistency_rate
deepseek-v3.2,0.9762376237623762,0.0,0.0019801980198019802,0.9405940594059405
gemma-3-12b-it,0.4435643564356435,0.4455445544554456,0.019801980198019806,0.25742574257425743
gemma-3-27b-it,0.5920792079207922,0.2930693069306931,0.05544554455445544,0.36633663366336633
glm-4.7-flash,0.403960396039604,0.06336633663366337,0.4891089108910891,0.04950495049504951
qwen3-next-80b-a3b-instruct,0.8970297029702972,0.0,0.0019801980198019802,0.7920792079207921
qwen3.5-397b-a17b,0.9762376237623762,0.0,0.0019801980198019802,0.9702970297029703
