model,model_slug,status,updated_at,n_trials,summary_path,message
anthropic/claude-sonnet-4.6,anthropic__claude-sonnet-4.6,completed,2026-03-08T14:36:15+00:00,505,/Users/andrejustinov/Desktop/research/wason-selection/output/concrete_facts_extended/anthropic__claude-sonnet-4.6/summary.json,run completed successfully
deepseek/deepseek-v3.2,deepseek__deepseek-v3.2,completed,2026-03-08T14:47:54+00:00,505,/Users/andrejustinov/Desktop/research/wason-selection/output/concrete_facts_extended/deepseek__deepseek-v3.2/summary.json,run completed successfully
google/gemma-3-12b-it,google__gemma-3-12b-it,completed,2026-03-08T14:48:27+00:00,505,/Users/andrejustinov/Desktop/research/wason-selection/output/concrete_facts_extended/google__gemma-3-12b-it/summary.json,run completed successfully
google/gemma-3-27b-it,google__gemma-3-27b-it,completed,2026-03-08T14:45:38+00:00,505,/Users/andrejustinov/Desktop/research/wason-selection/output/concrete_facts_extended/google__gemma-3-27b-it/summary.json,run completed successfully
openai/gpt-5.2,openai__gpt-5.2,completed,2026-03-08T14:37:51+00:00,505,/Users/andrejustinov/Desktop/research/wason-selection/output/concrete_facts_extended/openai__gpt-5.2/summary.json,run completed successfully
qwen/qwen3-next-80b-a3b-instruct,qwen__qwen3-next-80b-a3b-instruct,completed,2026-03-08T14:44:32+00:00,505,/Users/andrejustinov/Desktop/research/wason-selection/output/concrete_facts_extended/qwen__qwen3-next-80b-a3b-instruct/summary.json,run completed successfully
qwen/qwen3.5-397b-a17b,qwen__qwen3.5-397b-a17b,completed,2026-03-08T14:42:32+00:00,505,/Users/andrejustinov/Desktop/research/wason-selection/output/concrete_facts_extended/qwen__qwen3.5-397b-a17b/summary.json,run completed successfully
x-ai/grok-4.1-fast,x-ai__grok-4.1-fast,completed,2026-03-08T14:37:02+00:00,505,/Users/andrejustinov/Desktop/research/wason-selection/output/concrete_facts_extended/x-ai__grok-4.1-fast/summary.json,run completed successfully
z-ai/glm-4.7-flash,z-ai__glm-4.7-flash,completed,2026-03-08T14:43:41+00:00,505,/Users/andrejustinov/Desktop/research/wason-selection/output/concrete_facts_extended/z-ai__glm-4.7-flash/summary.json,run completed successfully
